id_pedido;id_produto;quantidade;preco_unitario;desconto
146;6;2;361.39;0.18
146;5;6;486.78;0.02
146;8;4;521.85;0.16
147;1;1;109.07;0.23
147;7;7;998.08;0.21
147;2;1;902.28;0.08
147;10;8;627.29;0.02
148;9;2;625.35;0.18
148;4;3;735.16;0.07
148;3;9;655.13;0.26
148;2;3;892.41;0.14
149;1;1;533.81;0.26
149;3;9;187.66;0.1
150;8;4;951.27;0.08
151;6;7;168.67;0.24
151;6;7;220.5;0.2
151;9;2;107.28;0.2
152;1;7;421.58;0.13
153;7;2;113.91;0.11
153;5;9;106.45;0.25
153;9;1;379.95;0.15
153;7;6;37.49;0.29
154;5;4;401.02;0.01
154;3;3;941.07;0.21
154;4;6;313.77;0.08
154;6;4;621.91;0.24
155;3;5;700.74;0.13
155;9;5;506.92;0.17
155;6;8;323.03;0.07
155;10;1;296.38;0.12
155;8;7;570.78;0.03
156;3;6;263.57;0.17
156;2;10;124.61;0.06
156;10;2;482.12;0.01
156;4;2;669.92;0.05
156;3;9;516.37;0.24
157;7;6;258.26;0.08
158;6;9;561.6;0.22
158;5;4;96.27;0.24
158;4;3;433.25;0.13
158;6;3;776.43;0.08
158;10;5;46.74;0.13
159;2;5;800.04;0.16
159;7;7;978.12;0.08
160;3;2;164.66;0.12
161;1;10;12.22;0.08
161;7;9;986.48;0.23
161;2;4;495.08;0.04
161;6;9;866.84;0.19
161;4;9;237.8;0.11
162;9;1;892.38;0.1
162;1;2;505.55;0.23
162;6;2;311.18;0.22
162;6;2;683.95;0.19
162;6;8;993.94;0.12
163;7;4;944.9;0.12
163;3;2;844.72;0.25
164;2;2;481.95;0.08
164;5;9;792.94;0.23
165;1;10;147.46;0.04
166;5;4;374.41;0.28
166;6;9;853.67;0.17
166;5;10;183.9;0.28
167;2;1;929.79;0.18
167;2;5;831.31;0.28
168;2;4;764.94;0.06
168;10;10;615.53;0.0
168;10;10;139.11;0.17
168;5;6;943.26;0.21
168;10;7;851.04;0.14
169;7;10;871.64;0.19
170;8;1;840.03;0.15
170;7;9;969.25;0.26
170;10;10;677.39;0.03
171;2;8;523.62;0.27
172;1;6;585.83;0.03
172;3;5;601.67;0.24
172;9;4;471.65;0.28
172;5;4;199.47;0.26
172;6;1;842.76;0.08
173;5;9;698.54;0.12
173;7;5;683.98;0.27
173;1;9;836.44;0.23
174;8;10;529.03;0.27
174;6;9;276.95;0.2
174;5;1;954.02;0.09
175;7;1;706.6;0.09
175;8;2;950.67;0.17
176;8;7;54.02;0.05
176;8;6;517.98;0.23
176;7;9;634.49;0.3
176;8;4;177.05;0.05
177;1;6;434.21;0.07
177;5;1;616.36;0.1
177;2;9;19.85;0.24
177;9;3;742.73;0.07
177;3;10;696.84;0.06
178;10;3;718.96;0.21
178;7;1;397.64;0.26
178;10;3;507.61;0.26
178;5;3;519.35;0.02
179;5;5;388.87;0.0
179;2;5;113.43;0.25
179;7;1;130.11;0.2
179;1;7;718.58;0.02
179;1;9;128.98;0.17
180;1;8;711.53;0.23
181;6;10;658.39;0.15
181;5;1;783.94;0.28
181;9;2;258.8;0.06
181;10;1;996.96;0.03
182;4;3;852.33;0.3
182;5;2;386.29;0.05
182;2;9;924.96;0.24
183;5;7;767.94;0.03
183;2;2;657.39;0.14
184;2;8;50.14;0.14
184;5;1;318.01;0.27
184;10;2;95.86;0.06
184;9;10;968.84;0.06
184;9;1;466.81;0.01
185;7;7;569.06;0.08
185;7;9;879.5;0.14
186;9;3;340.24;0.25
186;1;7;22.96;0.07
186;6;10;461.85;0.15
186;7;10;687.61;0.16
186;2;10;701.48;0.26
187;5;6;240.93;0.18
187;5;4;599.5;0.28
187;2;4;126.95;0.26
188;5;8;183.56;0.02
188;6;9;185.37;0.2
188;6;8;268.01;0.1
189;6;10;332.55;0.14
189;4;5;799.12;0.24
189;10;9;872.51;0.01
190;9;9;891.92;0.1
190;9;6;381.65;0.07
190;2;2;556.75;0.19
191;5;4;489.6;0.19
191;1;4;895.58;0.1
191;4;9;916.89;0.24
192;7;9;95.72;0.11
192;7;6;510.46;0.2
193;2;6;760.26;0.12
194;6;9;157.66;0.01
194;8;6;426.23;0.28
194;2;2;334.18;0.05
194;6;6;488.79;0.06
195;3;1;273.0;0.14
195;9;3;855.22;0.12
196;2;2;88.63;0.11
196;10;7;344.76;0.0
196;7;5;51.12;0.15
196;2;9;545.86;0.16
197;5;9;128.94;0.1
198;6;9;709.85;0.26
198;4;1;416.05;0.3
198;1;6;860.32;0.12
198;7;4;470.12;0.11
198;1;4;807.91;0.25
199;7;7;811.94;0.14
200;10;3;348.83;0.3
201;8;7;465.92;0.19
201;6;5;275.36;0.16
201;6;4;168.83;0.14
201;1;6;672.41;0.17
201;10;5;637.78;0.27
202;5;2;406.77;0.07
202;10;8;385.58;0.1
202;6;2;821.72;0.11
202;1;6;504.07;0.16
203;8;1;811.32;0.21
203;5;7;514.87;0.07
203;3;5;289.52;0.28
204;9;9;174.87;0.05
204;8;8;399.43;0.04
204;3;4;217.84;0.02
204;7;8;772.09;0.05
204;6;1;263.13;0.29
205;10;5;312.75;0.24
205;5;8;873.09;0.23
205;5;1;932.82;0.05
205;2;6;75.5;0.18
205;10;5;358.83;0.07
206;7;8;67.0;0.02
207;10;5;83.59;0.29
207;1;1;974.32;0.01
207;8;2;35.21;0.23
207;5;1;602.39;0.28
207;5;9;187.01;0.01
208;7;9;562.42;0.14
208;1;2;244.27;0.29
209;7;1;369.8;0.01
209;3;2;330.16;0.01
209;10;4;698.65;0.12
210;1;10;171.7;0.04
211;9;4;437.93;0.28
211;10;3;87.14;0.2
211;8;9;294.82;0.08
211;3;7;776.63;0.28
212;7;6;549.36;0.06
212;4;6;469.67;0.19
212;10;9;282.02;0.29
212;3;5;946.32;0.28
213;8;5;646.63;0.25
213;4;3;128.29;0.1
213;6;3;477.51;0.15
213;4;8;888.96;0.1
214;3;5;338.63;0.24
214;10;7;889.82;0.26
214;6;2;505.76;0.26
214;8;7;668.01;0.14
215;8;1;48.05;0.27
215;2;3;755.72;0.17
215;5;3;364.16;0.28
215;10;3;692.65;0.1
216;5;9;804.41;0.29
217;3;3;320.62;0.09
217;5;4;573.58;0.23
218;1;8;361.65;0.27
218;3;9;267.37;0.15
219;5;3;389.04;0.23
219;3;3;376.04;0.16
219;6;6;367.7;0.2
219;5;10;430.54;0.26
220;4;10;803.85;0.02
220;9;3;589.65;0.17
221;4;4;285.56;0.15
221;7;10;801.16;0.21
221;10;1;698.0;0.04
222;8;8;413.95;0.25
222;10;2;880.16;0.09
223;2;8;602.41;0.02
223;5;1;322.19;0.14
223;1;8;621.83;0.27
223;6;5;610.31;0.05
223;3;4;130.88;0.22
224;8;1;752.54;0.09
224;9;10;274.51;0.26
224;1;1;11.83;0.26
224;7;5;658.71;0.05
225;9;6;824.05;0.14
225;10;4;783.13;0.23
225;4;3;554.22;0.11
225;5;1;696.01;0.29
225;3;5;512.95;0.1
226;3;8;129.28;0.17
226;3;8;876.01;0.09
226;9;8;609.96;0.15
226;9;7;715.8;0.29
226;3;6;980.47;0.03
227;3;4;438.36;0.12
227;2;7;833.88;0.2
227;3;8;934.61;0.05
227;10;8;192.78;0.29
228;9;8;139.01;0.02
229;6;4;832.71;0.2
229;10;5;226.77;0.27
230;6;1;513.09;0.06
230;7;7;876.77;0.23
230;7;6;532.86;0.09
231;2;4;243.14;0.08
232;9;5;953.94;0.19
232;2;10;342.37;0.14
232;7;5;627.52;0.13
233;6;7;280.98;0.11
233;9;7;259.97;0.06
233;9;7;55.7;0.25
233;3;5;149.32;0.2
234;7;9;60.76;0.03
234;4;3;380.41;0.21
235;1;3;708.15;0.29
236;7;6;773.54;0.1
236;4;10;771.98;0.26
236;7;4;132.61;0.28
236;2;1;993.41;0.26
237;4;3;476.52;0.07
238;6;6;403.35;0.03
238;6;4;505.6;0.29
238;4;1;203.94;0.2
238;5;9;115.8;0.06
238;9;6;474.1;0.26
239;2;5;245.44;0.2
239;6;6;318.97;0.05
240;2;1;376.01;0.03
240;3;3;371.86;0.01
241;6;8;789.05;0.24
241;5;6;778.44;0.28
241;1;5;787.5;0.21
241;4;8;20.56;0.04
242;3;6;566.69;0.06
242;1;10;350.64;0.21
242;7;8;78.88;0.23
242;4;2;675.04;0.04
243;10;4;744.32;0.16
243;9;1;36.54;0.11
243;7;5;50.74;0.21
243;1;10;272.88;0.02
244;3;3;307.35;0.03
244;4;8;384.75;0.19
245;3;9;731.48;0.22
245;2;3;53.74;0.1
245;10;2;70.79;0.0
245;6;9;107.54;0.01
245;7;7;683.06;0.18
246;10;5;846.84;0.15
246;10;6;129.14;0.03
247;1;1;422.33;0.28
247;5;1;316.92;0.22
247;3;4;933.69;0.25
247;4;4;690.13;0.24
248;2;2;210.47;0.03
248;8;1;242.34;0.01
248;10;3;622.73;0.22
249;4;8;835.53;0.14
249;7;1;650.07;0.01
249;9;8;953.87;0.22
249;4;4;153.47;0.07
249;4;8;686.91;0.09
250;10;2;629.59;0.06
250;10;5;68.44;0.14
251;8;3;546.82;0.29
251;5;1;298.24;0.07
251;7;1;598.13;0.22
252;9;3;852.09;0.2
252;6;5;481.28;0.23
252;8;6;773.44;0.2
252;9;4;613.13;0.18
252;8;2;960.7;0.2
253;9;8;582.21;0.05
253;8;1;888.26;0.17
254;7;4;623.19;0.08
254;10;8;840.75;0.23
254;9;6;424.19;0.2
254;4;3;154.48;0.27
255;4;9;788.43;0.03
255;9;1;281.58;0.09
256;7;3;932.2;0.11
256;9;8;287.1;0.24
256;5;1;27.06;0.17
256;10;7;558.89;0.24
256;2;3;37.87;0.03
257;6;8;546.76;0.18
257;10;4;113.94;0.2
257;9;7;998.78;0.24
257;5;7;379.79;0.12
258;3;8;436.8;0.05
259;4;9;498.45;0.03
259;5;6;741.77;0.15
259;3;7;636.35;0.14
260;7;8;448.11;0.18
260;8;4;132.49;0.13
260;3;4;995.76;0.27
260;2;3;314.77;0.21
261;6;3;441.67;0.27
261;9;5;838.64;0.27
261;4;3;361.5;0.24
261;7;5;461.14;0.02
262;8;10;435.21;0.07
262;2;8;863.53;0.24
262;1;9;436.72;0.02
262;5;7;930.74;0.0
262;7;1;243.71;0.27
263;9;3;374.61;0.12
263;10;7;585.01;0.14
263;3;5;488.97;0.14
263;8;8;79.53;0.13
263;8;5;99.05;0.06
264;9;4;856.72;0.17
264;5;9;923.11;0.26
264;2;3;340.19;0.19
265;8;5;602.45;0.06
265;2;4;737.28;0.1
265;9;1;400.2;0.2
265;5;9;673.98;0.03
265;5;10;253.61;0.12
266;1;5;594.43;0.03
266;4;4;486.68;0.2
266;7;5;481.56;0.29
266;2;5;977.52;0.12
267;5;6;61.04;0.04
267;6;9;346.78;0.03
267;9;6;829.2;0.18
268;1;9;623.03;0.07
268;1;6;70.86;0.29
268;9;6;71.44;0.09
269;9;5;433.76;0.23
269;2;3;447.16;0.24
270;2;2;695.6;0.23
270;6;5;60.12;0.23
270;8;3;282.18;0.01
270;1;2;225.67;0.01
271;10;4;135.03;0.28
271;3;10;41.71;0.08
271;2;8;232.83;0.12
271;3;9;601.95;0.03
272;1;8;445.25;0.0
272;5;2;521.17;0.02
272;7;7;993.64;0.26
272;1;2;584.51;0.11
272;10;4;475.83;0.01
273;7;5;494.08;0.27
273;6;10;513.66;0.18
273;9;10;866.96;0.24
273;7;4;478.53;0.08
274;1;7;889.96;0.06
274;8;10;782.77;0.23
274;1;4;935.32;0.16
274;2;4;457.23;0.25
274;10;9;703.39;0.11
275;7;3;345.05;0.16
275;6;5;934.68;0.27
275;5;4;824.39;0.21
275;1;4;14.94;0.11
276;6;10;303.23;0.08
276;8;4;905.75;0.15
277;6;10;616.72;0.15
277;7;10;754.2;0.22
277;8;2;184.74;0.22
277;8;1;828.7;0.23
278;4;7;58.03;0.21
278;9;4;352.15;0.09
279;1;3;642.92;0.08
279;9;3;651.19;0.22
279;8;9;936.61;0.11
279;1;1;311.65;0.03
280;3;8;653.26;0.16
280;8;2;566.41;0.25
280;9;2;728.97;0.29
280;3;10;730.5;0.1
281;5;5;839.73;0.07
282;3;6;268.96;0.11
282;4;10;532.37;0.17
282;9;1;783.49;0.09
282;8;1;339.38;0.18
283;2;9;134.69;0.12
283;4;1;893.64;0.27
284;1;5;146.02;0.11
284;10;2;311.01;0.23
284;8;5;548.76;0.04
285;9;2;644.34;0.18
285;5;1;50.3;0.04
286;6;6;646.28;0.15
286;1;9;645.96;0.03
286;1;5;542.27;0.01
286;9;6;262.6;0.2
287;9;5;911.3;0.24
287;4;3;503.13;0.13
287;10;8;800.83;0.03
287;9;1;168.26;0.29
287;8;8;780.59;0.01
288;4;10;801.54;0.09
289;2;9;102.57;0.1
289;9;9;68.43;0.16
289;3;6;878.85;0.26
289;2;3;367.33;0.2
289;5;3;806.64;0.05
290;7;3;495.42;0.24
291;7;8;112.26;0.26
292;2;2;357.38;0.01
292;5;1;121.46;0.01
292;7;8;352.26;0.03
292;3;3;894.14;0.11
292;3;2;829.35;0.21
293;6;5;638.34;0.0
293;7;6;629.39;0.05
293;8;3;900.79;0.19
293;9;5;239.15;0.01
294;3;5;974.88;0.27
294;6;10;20.74;0.3
295;6;5;641.68;0.19
295;7;5;535.1;0.14
295;6;6;834.44;0.16
295;7;9;678.87;0.26
295;3;8;110.34;0.19
296;7;1;24.11;0.06
296;10;8;111.07;0.06
296;2;2;159.96;0.08
297;6;9;420.51;0.28
298;10;4;934.31;0.02
298;10;6;209.32;0.03
299;4;9;511.0;0.08
299;6;7;437.04;0.01
299;9;5;485.0;0.2
300;1;2;863.07;0.11
300;8;2;578.9;0.15
301;10;5;417.69;0.27
301;8;4;162.23;0.15
301;3;3;646.91;0.27
301;7;7;121.39;0.19
302;10;8;877.45;0.25
302;10;10;130.16;0.28
302;8;6;515.44;0.02
303;3;7;770.04;0.18
303;9;10;960.3;0.23
303;3;8;847.47;0.02
303;2;7;300.2;0.22
303;6;8;779.81;0.16
304;4;6;307.39;0.15
304;10;8;750.5;0.21
305;4;8;209.67;0.3
305;7;8;721.05;0.2
305;4;4;373.16;0.18
305;1;2;460.85;0.28
305;9;5;347.63;0.05
306;4;8;338.05;0.04
306;1;6;715.2;0.1
306;10;10;192.79;0.24
306;6;3;582.55;0.07
306;3;5;713.51;0.02
307;3;10;575.95;0.11
307;1;4;612.04;0.11
308;5;7;619.21;0.13
308;8;1;835.84;0.1
309;10;2;537.86;0.05
310;2;3;247.45;0.02
311;6;3;589.0;0.02
311;4;8;207.05;0.01
311;8;10;635.74;0.21
312;9;10;809.02;0.13
312;4;4;196.02;0.15
312;7;6;611.12;0.11
313;8;5;589.9;0.17
313;7;10;306.8;0.1
313;9;7;623.63;0.28
314;10;2;305.21;0.04
315;8;8;586.45;0.14
315;2;2;893.76;0.06
315;10;2;669.53;0.26
315;10;1;569.3;0.06
315;1;9;290.03;0.08
316;4;5;337.7;0.07
316;2;9;578.09;0.17
316;4;7;654.31;0.22
316;7;6;844.17;0.18
317;8;4;811.45;0.04
317;2;2;386.57;0.14
317;10;10;416.57;0.09
317;2;1;46.97;0.05
318;3;6;656.62;0.26
318;1;9;722.56;0.17
319;1;7;977.44;0.14
320;10;9;445.73;0.15
