id_entrega;id_pedido;data_entrega;transportadora; custo_frete 
123;129;22/01/2024;ExpressA; 475.34 
124;130;18/05/2024;ExpressA; 42.68 
125;131;27/06/2024;ExpressA; 22.98 
126;132;12/01/2024;ExpressA; 52.33 
127;133;13/02/2024;ExpressA; 10.29 
128;134;23/04/2024;ExpressA; 396.87 
129;135;30/06/2024;ExpressA; 9.67 
130;136;13/07/2024;ExpressA; 40.86 
131;137;17/07/2024;ExpressA; 37.1 
132;138;13/12/2024;ExpressA; 4.82 
133;139;14/08/2024;SolidZ; 448.18 
134;141;19/11/2024;ExpressA; 32.98 
135;142;20/09/2024;ExpressA; 14.53 
136;143;25/04/2024;ExpressA; 52.38 
137;144;31/05/2024;ExpressA; 24.74 
138;145;28/04/2024;ExpressA; 213.46 
139;146;16/06/2024;ExpressA; 26.95 
140;147;08/09/2024;ExpressA; 35.31 
141;148;25/09/2024;ExpressA; 41.89 
142;149;14/02/2024;ExpressA; 16.38 
143;150;02/07/2024;ExpressA; 195.7 
144;151;17/03/2024;ExpressA; 28.33 
145;152;27/04/2024;ExpressA; 46.26 
146;153;08/03/2024;SolidZ; 44.88 
147;154;16/01/2024;SolidZ; 17.84 
148;155;01/04/2024;SolidZ; 171.83 
149;156;04/09/2024;SolidZ; 26.42 
150;157;24/09/2024;SolidZ; 43.56 
151;158;21/05/2024;SolidZ; 1.12 
152;159;06/12/2024;SolidZ; 32.1 
153;160;02/09/2024;SolidZ; 150.78 
154;162;30/09/2024;SolidZ; 1.1 
155;163;02/11/2024;SolidZ; 44.88 
156;164;09/07/2024;SolidZ; 54.79 
157;165;08/04/2024;SolidZ; 3.19 
158;166;27/11/2024;SolidZ; 263.3 
159;167;26/07/2024;SolidZ; 8.05 
160;168;16/05/2024;SolidZ; 38.06 
161;169;19/03/2024;SolidZ; 40.12 
162;170;07/02/2024;SolidZ; 13.69 
163;172;01/11/2024;SolidZ; 416.45 
164;173;14/05/2024;SolidZ; 33.88 
165;174;23/05/2024;SolidZ; 0.84 
166;175;11/09/2024;SolidZ; 37.9 
167;176;20/02/2024;SolidZ; 36.55 
168;177;11/09/2024;SolidZ; 297.43 
169;178;15/05/2024;SolidZ; 21.52 
170;179;17/10/2024;ExpressA; 29.4 
171;180;29/07/2024;ExpressA; 37.41 
172;181;10/04/2024;ExpressA; 28.96 
173;182;17/02/2024;ExpressA; 483.69 
174;183;11/03/2024;ExpressA; 9.34 
175;184;18/05/2024;ExpressA; 31.34 
176;185;06/10/2024;ExpressA; 11.77 
177;186;09/03/2024;ExpressA; 9.8 
178;187;05/01/2024;ExpressA; 336.28 
179;188;14/08/2024;ExpressA; 45.84 
180;190;16/10/2024;ExpressA; 48.14 
181;191;20/04/2024;ExpressA; 19.57 
182;192;22/09/2024;SolidZ; 17.88 
183;193;06/03/2024;SolidZ; 81.07 
184;194;22/09/2024;SolidZ; 30.98 
185;195;19/05/2024;SolidZ; 30.02 
186;196;14/02/2024;SolidZ; 26.87 
187;197;21/09/2024;SolidZ; 21.66 
188;198;03/08/2024;SolidZ; 313.37 
189;199;02/05/2024;SolidZ; 29.38 
190;200;01/06/2024;SolidZ; 19.03 
191;201;03/08/2024;SolidZ; 53.12 
192;202;21/08/2024;SolidZ; 30.19 
193;203;18/12/2024;SolidZ; 106.68 
194;204;21/04/2024;SolidZ; 16.34 
195;205;29/12/2024;SolidZ; 39.5 
196;206;15/11/2024;SolidZ; 6.81 
197;207;11/08/2024;ExpressA; 33.87 
198;208;14/08/2024;ExpressA; 182.63 
199;209;31/07/2024;ExpressA; 27.81 
200;210;11/03/2024;ExpressA; 14.39 
201;211;27/12/2024;ExpressA; 59.2 
202;212;30/03/2024;ExpressA; 40.81 
203;213;21/09/2024;ExpressA; 464.58 
204;214;31/12/2024;ExpressA; 9.65 
205;215;08/07/2024;ExpressA; 42.16 
206;216;22/04/2024;ExpressA; 32.4 
207;217;29/08/2024;ExpressA; 31.99 
208;218;12/09/2024;ExpressA; 112.67 
209;219;31/05/2024;SolidZ; 35.74 
210;220;07/05/2024;SolidZ; 45.76 
211;221;17/11/2024;SolidZ; 16.49 
212;223;28/11/2024;SolidZ; 5.1 
213;224;20/05/2024;SolidZ; 137.07 
214;225;13/04/2024;SolidZ; 27.02 
215;226;01/09/2024;SolidZ; 41.72 
216;227;26/04/2024;SolidZ; 17.16 
217;228;03/08/2024;SolidZ; 28.12 
218;229;18/01/2024;SolidZ; 242.4 
219;230;30/06/2024;SolidZ; 14.78 
220;231;11/08/2024;SolidZ; 25.76 
221;232;28/09/2024;SolidZ; 10.58 
222;233;09/11/2024;SolidZ; 28.94 
223;234;17/12/2024;SolidZ; 62.25 
224;235;13/05/2024;SolidZ; 36.68 
225;236;25/04/2024;SolidZ; 9.3 
226;237;12/05/2024;SolidZ; 59.89 
227;238;21/05/2024;SolidZ; 37.14 
228;239;30/12/2024;SolidZ; 175.2 
229;240;21/08/2024;SolidZ; 21.6 
230;241;02/04/2024;ExpressA; 13.33 
231;242;26/09/2024;ExpressA; 46.17 
232;243;08/04/2024;ExpressA; 17.41 
233;244;27/07/2024;ExpressA; 378.82 
234;245;09/01/2024;ExpressA; 1.41 
235;246;19/11/2024;ExpressA; 7.21 
236;247;02/04/2024;ExpressA; 22.28 
237;248;08/06/2024;ExpressA; 5.3 
238;249;26/12/2024;ExpressA; 302.56 
239;250;11/04/2024;ExpressA; 3.02 
240;251;12/08/2024;ExpressA; 43.06 
241;252;07/12/2024;ExpressA; 45.82 
242;253;27/07/2024;SolidZ; 10.08 
243;254;16/03/2024;SolidZ; 244.48 
244;255;28/02/2024;SolidZ; 22.86 
245;256;15/10/2024;SolidZ; 36.38 
246;257;05/03/2024;SolidZ; 24.45 
247;258;15/09/2024;SolidZ; 1.92 
248;260;05/10/2024;SolidZ; 235.77 
249;261;18/07/2024;SolidZ; 48.74 
250;262;07/06/2024;SolidZ; 44.12 
251;263;09/11/2024;SolidZ; 11.38 
252;264;07/01/2024;SolidZ; 32.67 
253;265;06/09/2024;SolidZ; 468.73 
254;266;20/08/2024;SolidZ; 0.94 
255;267;18/04/2024;SolidZ; 36.19 
256;268;07/04/2024;SolidZ; 27.88 
257;269;26/09/2024;SolidZ; 30.75 
258;270;01/03/2024;ExpressA; 304.77 
259;271;06/11/2024;ExpressA; 49.24 
260;272;19/05/2024;ExpressA; 14.8 
261;273;25/11/2024;ExpressA; 47.3 
262;274;09/07/2024;ExpressA; 10.9 
263;275;07/05/2024;ExpressA; 220.63 
264;276;11/06/2024;ExpressA; 48.78 
265;277;02/03/2024;ExpressA; 38.42 
266;278;01/02/2024;ExpressA; 19.36 
267;279;01/12/2024;ExpressA; 28.04 
268;280;16/03/2024;ExpressA; 29.6 
269;281;01/09/2024;ExpressA; 13.69 
270;282;13/11/2024;SolidZ; 36.06 
271;283;17/09/2024;SolidZ; 34.46 
272;284;08/07/2024;SolidZ; 21.37 
273;285;12/11/2024;SolidZ; 346.98 
274;286;23/10/2024;SolidZ; 20.22 
275;287;28/06/2024;SolidZ; 1.79 
276;288;14/10/2024;SolidZ; 26.8 
277;289;22/10/2024;SolidZ; 40.64 
278;290;14/12/2024;SolidZ; 429.02 
279;291;28/07/2024;SolidZ; 20.75 
280;292;02/08/2024;SolidZ; 1.6 
281;293;11/12/2024;SolidZ; 38.4 
282;294;21/05/2024;SolidZ; 33.47 
283;295;28/03/2024;SolidZ; 150.65 
284;296;30/06/2024;SolidZ; 24.09 
285;297;29/11/2024;ExpressA; 49.6 
286;299;26/09/2024;ExpressA; 21.45 
287;300;11/02/2024;ExpressA; 28.4 
288;301;23/01/2024;ExpressA; 94.11 
289;302;31/08/2024;ExpressA; 10.36 
290;303;01/01/2025;ExpressA; 46.28 
291;304;19/04/2024;ExpressA; 14.81 
292;305;13/12/2024;ExpressA; 14.3 
293;306;23/05/2024;ExpressA; 274.17 
294;307;25/05/2024;ExpressA; 45.03 
295;308;09/10/2024;ExpressA; 39.18 
296;309;01/09/2024;ExpressA; 3.2 
297;310;11/07/2024;SolidZ; 31.32 
298;311;17/10/2024;SolidZ; 254.51 
299;312;30/06/2024;SolidZ; 24.04 
300;313;21/04/2024;SolidZ; 34.73 
301;314;03/08/2024;SolidZ; 12.26 
302;315;18/05/2024;SolidZ; 44.18 
303;316;21/07/2024;SolidZ; 324.43 
304;317;07/01/2024;SolidZ; 18.6 
305;318;13/12/2024;SolidZ; 30.21 
306;319;14/01/2024;SolidZ; 13.46 
307;320;23/03/2024;SolidZ; 28.69 
308;321;12/10/2024;SolidZ; 18.97 
309;322;09/06/2024;SolidZ; 17.39 
310;323;29/09/2024;SolidZ; 37.5 
311;324;22/07/2024;SolidZ; 48.59 
312;326;22/10/2024;SolidZ; 24.48 
313;327;21/10/2024;SolidZ; 266.6 
314;328;30/11/2024;SolidZ; 21.36 
315;329;01/10/2024;ExpressA; 11.81 
316;330;12/02/2024;ExpressA; 42.37 
317;331;16/11/2024;ExpressA; 11.69 
318;332;16/01/2024;ExpressA; 455.96 
319;334;23/06/2024;ExpressA; 43.59 
320;335;05/08/2024;ExpressA; 14.89 
321;336;18/05/2024;ExpressA; 48.54 
322;337;17/11/2024;ExpressA; 5.51 
323;338;17/08/2024;ExpressA; 384.58 
324;339;13/02/2024;ExpressA; 19.65 
325;340;22/01/2024;ExpressA; 23.76 
326;341;29/04/2024;ExpressA; 10.51 
327;343;04/12/2024;SolidZ; 30.13 
328;344;21/12/2024;SolidZ; 295.92 
329;345;20/09/2024;SolidZ; 31.31 
330;346;24/03/2024;SolidZ; 13.12 
331;347;03/02/2024;SolidZ; 14.81 
332;348;17/11/2024;SolidZ; 37.44 
333;349;02/10/2024;SolidZ; 381.82 
334;350;22/08/2024;SolidZ; 17.17 
335;351;31/01/2024;SolidZ; 32.07 
336;352;08/09/2024;SolidZ; 49.79 
337;353;21/11/2024;SolidZ; 40.05 
338;354;10/09/2024;SolidZ; 7.87 
339;355;29/08/2024;SolidZ; 40.77 
340;356;09/11/2024;SolidZ; 17.84 
341;357;25/06/2024;SolidZ; 43.27 
342;358;13/07/2024;SolidZ; 17,00 
343;359;01/07/2024;SolidZ; 305.09 
344;361;02/08/2024;SolidZ; 20.55 
345;362;23/07/2024;ExpressA; 25.88 
346;363;07/09/2024;ExpressA; 43.74 
347;364;30/12/2024;ExpressA; 21.67 
348;365;13/09/2024;ExpressA; 11.92 
349;366;17/03/2024;ExpressA; 1.14 
350;368;21/07/2024;ExpressA; 42.44 
351;369;24/05/2024;ExpressA; 47.25 
352;370;24/07/2024;ExpressA; 14.28 
353;371;19/07/2024;ExpressA; 238.21 
354;372;20/06/2024;ExpressA; 12.09 
355;373;14/11/2024;ExpressA; 49.46 
356;374;15/08/2024;ExpressA; 16.07 
357;375;29/06/2024;SolidZ; 18.99 
358;377;02/10/2024;SolidZ; 438.63 
359;378;05/03/2024;SolidZ; 3.05 
360;379;22/11/2024;SolidZ; 15.4 
361;380;24/07/2024;SolidZ; 34.4 
362;381;13/05/2024;SolidZ; 28,00 
363;382;15/03/2024;SolidZ; 39.66 
364;383;18/03/2024;SolidZ; 33.37 
365;384;09/07/2024;SolidZ; 26.64 
366;385;22/12/2024;SolidZ; 49.76 
367;386;14/03/2024;SolidZ; 10.35 
368;387;19/09/2024;SolidZ; 101.54 
369;388;03/11/2024;SolidZ; 39.77 
370;389;16/02/2024;SolidZ; 35.34 
371;390;14/08/2024;SolidZ; 47.63 
372;391;23/11/2024;SolidZ; 35.29 
373;392;08/09/2024;SolidZ; 56.48 
374;393;17/03/2024;SolidZ; 14.29 
375;394;17/03/2024;SolidZ; 13.37 
376;395;21/05/2024;ExpressA; 56.11 
377;396;15/03/2024;ExpressA; 22.17 
378;398;04/04/2024;ExpressA; 148.34 
379;399;12/03/2024;ExpressA; 43.66 
380;400;05/03/2024;ExpressA; 42.43 
381;401;13/07/2024;ExpressA; 54.08 
382;402;03/03/2024;ExpressA; 17.76 
383;403;23/01/2024;ExpressA; 322.46 
384;404;28/08/2024;ExpressA; 14.27 
385;405;23/07/2024;ExpressA; 9.45 
386;406;27/10/2024;ExpressA; 1.9 
387;407;16/07/2024;ExpressA; 10.4 
388;408;02/03/2024;SolidZ; 304.17 
389;410;06/05/2024;SolidZ; 7.1 
390;411;28/10/2024;SolidZ; 45.94 
391;412;26/09/2024;SolidZ; 21.12 
392;413;20/07/2024;SolidZ; 19.47 
393;414;12/06/2024;SolidZ; 185.66 
394;415;10/12/2024;SolidZ; 20.73 
395;416;31/10/2024;SolidZ; 13.33 
396;417;21/04/2024;SolidZ; 42.1 
397;418;04/12/2024;SolidZ; 34.23 
398;419;02/02/2024;SolidZ; 412.44 
399;420;10/04/2024;SolidZ; 17.39 
400;421;03/09/2024;SolidZ; 38.35 
401;422;19/09/2024;SolidZ; 38.48 
402;423;10/07/2024;SolidZ; 43.13 
403;424;01/02/2024;SolidZ; 215.27 
404;425;17/02/2024;SolidZ; 49.62 
405;426;08/09/2024;SolidZ; 37.15 
406;427;14/08/2024;ExpressA; 46.71 
407;428;01/10/2024;ExpressA; 1.6 
408;429;01/06/2024;ExpressA; 251.21 
409;430;25/11/2024;ExpressA; 26.65 
410;431;12/10/2024;ExpressA; 2.51 
411;432;01/07/2024;ExpressA; 19.14 
412;434;01/06/2024;ExpressA; 19.43 
413;435;23/08/2024;ExpressA; 97.42 
414;436;24/01/2024;ExpressA; 25.91 
415;437;06/04/2024;ExpressA; 2.17 
416;438;01/09/2024;ExpressA; 31.25 
417;439;18/10/2024;ExpressA; 26.92 
418;440;09/06/2024;SolidZ; 182.06 
419;441;14/10/2024;SolidZ; 38.25 
420;442;09/01/2024;SolidZ; 7.22 
421;443;05/07/2024;SolidZ; 52.76 
422;444;22/10/2024;SolidZ; 43.02 
423;445;17/05/2024;SolidZ; 5.61 
424;446;19/04/2024;SolidZ; 42.21 
425;447;11/03/2024;SolidZ; 25.55 
426;448;16/05/2024;SolidZ; 28.01 
427;449;08/04/2024;SolidZ; 11.08 
428;450;28/04/2024;SolidZ; 226.43 
429;451;02/10/2024;SolidZ; 47.55 
430;452;24/12/2024;SolidZ; 10.93 
431;453;03/01/2025;SolidZ; 11.24 
432;454;03/12/2024;SolidZ; 11.23 
433;455;27/06/2024;SolidZ; 278.16 
434;456;27/12/2024;SolidZ; 46.55 
435;457;27/08/2024;SolidZ; 28.91 
436;458;28/09/2024;SolidZ; 15.06 
437;459;05/10/2024;SolidZ; 20.07 
438;460;18/05/2024;SolidZ; 198.25 
439;461;30/12/2024;ExpressA; 2.81 
440;462;11/05/2024;ExpressA; 25.78 
441;464;04/05/2024;ExpressA; 50.63 
442;465;16/05/2024;ExpressA; 24.91 
443;466;08/05/2024;ExpressA; 423.08 
444;467;01/10/2024;ExpressA; 47.82 
445;468;06/03/2024;ExpressA; 47.19 
446;469;23/10/2024;ExpressA; 6.57 
447;470;22/08/2024;ExpressA; 42.54 
448;471;20/02/2024;ExpressA; 398.9 
449;472;18/05/2024;ExpressA; 38.99 
450;473;07/06/2024;ExpressA; 4.96 
451;474;28/02/2024;SolidZ; 11.26 
452;475;21/03/2024;SolidZ; 43.89 
453;476;21/08/2024;SolidZ; 110.62 
454;477;22/11/2024;SolidZ; 8.87 
455;479;08/05/2024;SolidZ; 45.71 
456;480;12/11/2024;SolidZ; 28.89 
457;481;22/03/2024;SolidZ; 41.46 
458;482;23/12/2024;SolidZ; 170.5 
459;483;01/12/2024;SolidZ; 11.71 
460;484;23/06/2024;SolidZ; 25.01 
461;485;26/05/2024;SolidZ; 37.16 
462;486;06/05/2024;SolidZ; 17.89 
463;487;03/07/2024;SolidZ; 176.29 
464;488;06/08/2024;SolidZ; 11.29 
465;489;06/10/2024;SolidZ; 14.11 
466;490;24/03/2024;SolidZ; 40.58 
467;491;23/05/2024;SolidZ; 16.93 
468;492;29/11/2024;SolidZ; 44.48 
469;493;06/04/2024;ExpressA; 7.34 
470;494;31/12/2024;ExpressA; 18.93 
471;496;22/04/2024;ExpressA; 23.11 
472;497;21/02/2024;ExpressA; 3.15 
473;498;14/04/2024;ExpressA; 211.91 
474;499;11/04/2024;ExpressA; 33.61 
475;500;24/05/2024;ExpressA; 29.88 
476;501;19/07/2024;ExpressA; 17.16 
477;502;16/11/2024;ExpressA; 31.1 
478;503;18/07/2024;ExpressA; 317.16 
479;504;13/10/2024;ExpressA; 9.02 
480;505;04/08/2024;ExpressA; 8.53 
481;506;17/02/2024;SolidZ; 33.1 
482;507;29/01/2024;SolidZ; 29.83 
483;508;05/01/2024;SolidZ; 481.15 
484;509;17/01/2024;SolidZ; 21.39 
485;510;12/11/2024;SolidZ; 38.36 
486;511;18/03/2024;SolidZ; 7.52 
487;512;16/06/2024;SolidZ; 40.08 
488;513;06/04/2024;SolidZ; 318.39 
489;514;16/04/2024;SolidZ; 31.64 
490;515;25/01/2024;SolidZ; 7.55 
491;516;21/07/2024;SolidZ; 2.95 
492;517;04/02/2024;SolidZ; 31.7 
493;518;04/01/2024;SolidZ; 62.94 
494;519;16/10/2024;SolidZ; 6.79 
495;520;30/11/2024;SolidZ; 9.78 
496;521;07/12/2024;SolidZ; 6.41 
497;522;19/05/2024;SolidZ; 28.31 
498;523;03/12/2024;SolidZ; 213.89 
499;524;05/03/2024;ExpressA; 13.67 
500;525;25/10/2024;ExpressA; 22.32 
501;527;01/03/2024;ExpressA; 55.67 
502;528;22/09/2024;ExpressA; 22.17 
503;529;01/12/2024;ExpressA; 285.54 
504;530;06/07/2024;ExpressA; 13.23 
505;531;05/03/2024;ExpressA; 25.92 
506;532;04/11/2024;ExpressA; 45.04 
507;533;08/10/2024;ExpressA; 22.37 
508;534;30/01/2024;ExpressA; 154.53 
509;535;21/06/2024;ExpressA; 29.31 
510;536;22/01/2024;ExpressA; 47.36 
511;537;28/10/2024;SolidZ; 53.35 
512;538;19/07/2024;SolidZ; 34.72 
513;539;16/05/2024;SolidZ; 141.72 
514;540;29/09/2024;SolidZ; 12.46 
515;541;26/01/2024;SolidZ; 42.01 
516;542;27/03/2024;SolidZ; 11.37 
517;543;02/02/2024;SolidZ; 27.43 
518;544;01/05/2024;SolidZ; 222.27 
519;546;16/05/2024;SolidZ; 23,00 
520;547;10/11/2024;SolidZ; 45.05 
521;548;27/05/2024;SolidZ; 5.77 
522;549;29/11/2024;SolidZ; 35.33 
523;550;22/09/2024;SolidZ; 418.33 
524;551;19/10/2024;SolidZ; 47.17 
525;552;28/03/2024;SolidZ; 22.9 
526;553;17/01/2024;SolidZ; 30.3 
527;555;28/04/2024;SolidZ; 20.87 
528;556;27/04/2024;SolidZ; 254.26 
529;557;28/09/2024;SolidZ; 16.95 
530;558;09/12/2024;SolidZ; 2.07 
531;559;13/06/2024;ExpressA; 26.32 
532;560;06/07/2024;ExpressA; 29.63 
533;561;15/04/2024;ExpressA; 346.52 
534;562;21/05/2024;ExpressA; 0.82 
535;563;18/06/2024;ExpressA; 40.15 
536;564;26/10/2024;ExpressA; 29.85 
537;566;30/09/2024;ExpressA; 43.3 
538;567;20/02/2024;ExpressA; 145.81 
539;568;07/06/2024;ExpressA; 38.2 
540;569;19/11/2024;ExpressA; 28.95 
541;570;15/12/2024;ExpressA; 42.23 
542;571;01/05/2024;ExpressA; 19.06 
543;572;22/05/2024;SolidZ; 143.21 
544;573;16/01/2024;SolidZ; 27.53 
545;574;06/11/2024;SolidZ; 19.06 
546;575;19/02/2024;SolidZ; 13.84 
547;576;15/06/2024;SolidZ; 37.84 
548;577;02/03/2024;SolidZ; 240.54 
549;578;07/12/2024;SolidZ; 42.44 
550;579;03/06/2024;SolidZ; 23.96 
551;580;10/11/2024;SolidZ; 33.67 
552;581;11/12/2024;SolidZ; 44.79 
553;582;31/05/2024;SolidZ; 476,00 
554;583;14/03/2024;SolidZ; 13.95 
555;584;12/03/2024;SolidZ; 43.5 
556;585;25/06/2024;SolidZ; 23.79 
557;586;21/12/2024;SolidZ; 3.62 
558;587;03/01/2024;SolidZ; 290.01 
559;588;07/11/2024;SolidZ; 48.86 
560;589;28/04/2024;SolidZ; 48.73 
561;590;09/01/2024;ExpressA; 8.11 
562;591;12/09/2024;ExpressA; 34.81 
563;592;18/03/2024;ExpressA; 402.4 
564;593;16/12/2024;ExpressA; 18.75 
565;594;15/07/2024;ExpressA; 33.1 
566;595;06/07/2024;ExpressA; 29.6 
567;596;06/01/2024;ExpressA; 10.6 
568;597;02/07/2024;ExpressA; 381.83 
569;598;02/12/2024;ExpressA; 13.51 
570;599;30/09/2024;ExpressA; 17.35 
571;600;24/02/2024;ExpressA; 11.89 
572;601;19/09/2024;ExpressA; 32.49 
573;602;14/05/2024;SolidZ; 232.07 
574;603;13/08/2024;SolidZ; 22.45 
575;605;04/03/2024;SolidZ; 8.28 
576;606;30/12/2024;SolidZ; 53.95 
577;607;18/01/2024;SolidZ; 21.17 
578;608;17/08/2024;SolidZ; 186.43 
579;609;16/07/2024;SolidZ; 6.77 
580;610;07/09/2024;SolidZ; 8.81 
581;611;31/10/2024;SolidZ; 55.27 
582;612;18/02/2024;SolidZ; 20.79 
583;613;25/08/2024;SolidZ; 362.48 
584;614;30/04/2024;SolidZ; 4.49 
585;615;17/11/2024;SolidZ; 32.35 
586;616;20/02/2024;SolidZ; 55.34 
587;617;13/02/2024;SolidZ; 13.81 
588;618;22/01/2024;SolidZ; 291.68 
589;619;02/07/2024;SolidZ; 47.04 
590;620;06/01/2024;SolidZ; 36.11 
591;621;27/05/2024;ExpressA; 4.3 
592;622;22/12/2024;ExpressA; 17.32 
593;623;20/03/2024;ExpressA; 47.46 
594;624;19/08/2024;ExpressA; 43.14 
595;625;26/10/2024;ExpressA; 31.27 
596;626;13/12/2024;ExpressA; 57.41 
597;627;29/07/2024;ExpressA; 1.33 
598;628;12/06/2024;ExpressA; 214.43 
599;629;19/06/2024;ExpressA; 5.67 
600;630;04/10/2024;ExpressA; 17.85 
601;631;26/08/2024;ExpressA; 10.22 
602;632;25/06/2024;ExpressA; 15.1 
603;633;25/02/2024;SolidZ; 410.54 
604;635;10/01/2024;SolidZ; 23.95 
605;636;27/05/2024;SolidZ; 46.12 
606;637;15/08/2024;SolidZ; 59.93 
